question,answer
are certain people at risk of getting vancomycinresistant enterococci?,certain people are at increased risk of getting vancomycin-resistant enterococci vre these include people who have been previously treated with antibiotics for long periods of time hospitalized patients especially those receiving antibiotic treatment those with weakened immune systems such as patients in intensive care units or cancer or transplant wards those who have undergone surgical procedures or have medical devices inserted those who are colonized with vre
are there complications from botulism?,botulism can result in death from respiratory failure but this has decreased significantly over the past 50 years patients with severe botulism may require a breathing machine and intensive care for several months and some may die from related infections or complications survivors may experience fatigue and shortness of breath for years requiring long-term therapy
do you have information about a1c,a1c is a blood test that measures your average blood glucose level over 3 months its used to diagnose type 2 diabetes and prediabetes and to monitor how well youre managing your diabetes the result is given in percentages with a normal level below 57% prediabetes between 57-64% and type 2 diabetes above 65%
do you have information about acupuncture,acupuncture has been practiced in china and other asian countries for thousands of years it involves stimulating specific points on the body often by inserting thin needles to cause a change in physical functions research has shown it reduces nausea and vomiting after surgery and chemotherapy and relieves pain
do you have information about adoption,adoption brings a child born to other parents into a new family birth parents place children for adoption to provide a better life for them than they can give children eligible for adoption come from various settings including foster care orphanages or birth relatives there are different types of adoption including adoption by relatives or new families and adoption from the us or abroad
do you have information about advance directives,advance directives are legal documents that allow you to spell out your decisions about end-of-life care ahead of time they include a living will which outlines your wishes for medical care if you are dying or permanently unconscious and a durable power of attorney for health care which names a proxy to make health decisions for you if you are unable to do so
do you have information about african american health,african americans have specific health concerns due to genetics environmental factors access to care and cultural factors
do you have information about air pollution,air pollution is a mixture of solid particles and gases in the air including car emissions chemicals from factories dust pollen and mold spores ozone a gas is a major part of air pollution in cities also known as smog some air pollutants are poisonous increasing the risk of health problems especially for people with heart or lung disease older adults and children
do you have information about alcohol,for many people moderate drinking is probably safe and may even have health benefits moderate drinking is defined as no more than three drinks a day or seven drinks per week for most women and people over 65 and no more than four drinks a day or 14 drinks per week for men under 65 however some people should not drink at all including those with certain medical conditions or taking certain medicines
do you have information about anabolic steroids,anabolic steroids are man-made substances related to male sex hormones they are used to treat hormone problems delayed puberty and muscle loss from some diseases bodybuilders and athletes often use them to build muscles and improve athletic performance but this is not legal or safe
do you have information about anatomy,anatomy is the science that studies the structure of the body
do you have information about angioplasty,angioplasty is a procedure to restore blood flow through a narrowed or blocked artery in the heart a thin tube with a tiny balloon on the end is inserted through a blood vessel and guided to the affected area the balloon is inflated to push plaque outward against the artery wall widening the artery and restoring blood flow
do you have information about antibiotic resistance,antibiotics are medicines that fight bacterial infections but there is a growing problem of antibiotic resistance this occurs when bacteria change and become resistant to the effects of an antibiotic using antibiotics can lead to resistance as sensitive bacteria are killed while resistant germs may be left to grow and multiply to help prevent antibiotic resistance dont use antibiotics for viruses dont pressure your doctor for an antibiotic follow the directions carefully when taking antibiotics and dont save antibiotics for later or use someone elses prescription
