question,answer,cleaned_answer
are certain people at risk of getting vancomycinresistant enterococci?,"on this page general information what is vancomycin-resistant enterococci? what types of infections does vancomycin-resistant enterococci cause? are certain people at risk of getting vancomycin-resistant enterococci? what is the treatment for vancomycin-resistant enterococci? how is vancomycin-resistant enterococci spread? how can patients prevent the spread of vancomycin-resistant enterococci? what should a patient do if they think they have vancomycin-resistant enterococci? recommendations and guidelines general information for more images of this bacterium, search the public health image library what is vancomycin-resistant enterococci? enteroccocci are bacteria that are normally present in the human intestines and in the female genital tract and are often found in the environment. these bacteria can sometimes cause infections. vancomycin is an antibiotic that is used to treat some drug-resistant infections caused by enterococci. in some instances, enterococci have become resistant to this drug and thus are called vancomycin-resistant enterococci (vre). most vre infections occur in hospitals. top of page what types of infections does vre cause? vre can live in the human intestines and female genital tract without causing disease (often called colonization). however, sometimes it can cause infections of the urinary tract, the bloodstream, or of wounds associated with catheters or surgical procedures. top of page are certain people at risk of getting vre? the following persons are at increased risk becoming infected with vre: people who have been previously treated with the antibiotic vancomycin or other antibiotics for long periods of time. people who are hospitalized, particularly when they receive antibiotic treatment for long periods of time. people with weakened immune systems such as patients in intensive care units, or in cancer or transplant wards. people who have undergone surgical procedures such as abdominal or chest surgery. people with medical devices that stay in for some time such as urinary catheters or central intravenous (iv) catheters. people who are colonized with vre. top of page what is the treatment for vre? people with colonized vre (bacteria are present, but have no symptoms of an infection)  do not need treatment. most vre infections can be treated with antibiotics other than vancomycin. laboratory testing of the vre can determine which antibiotics will work. for people who get vre infections in their bladder and have urinary catheters, removal of the catheter when it is no longer needed can also help get rid of the infection. top of page how is vre spread? vre is often passed from person to person by the contaminated hands of caregivers. vre can get onto a caregiver's hands after they have contact with other people with vre or after contact with contaminated surfaces. vre can also be spread directly to people after they touch surfaces that are contaminated with vre. vre is not spread through the air by coughing or sneezing. top of page how can patients prevent the spread of vre? if a patient or someone in their household has vre, the following are some things they can do to prevent the spread of vre: keep their hands clean. always wash their hands thoroughly after using the bathroom and before preparing food. clean their hands after contact with persons who have vre. wash with soap and water (particularly when visibly soiled) or use alcohol-based hand rubs. frequently clean areas of the home, such as bathrooms, that may become contaminated with vre. wear gloves if hands may come in contact with body fluids that may contain vre, such as stool or bandages from infected wounds. always wash their hands after removing gloves. if someone has vre, be sure to tell healthcare providers so that they are aware of the infection. healthcare facilities use special precautions to help prevent the spread of vre to others. top of page what should patients do if they think they have vancomycin-resistant enterococci (vre)? anyone who thinks they have vre must talk with their healthcare provider. top of page recommendations and guidelines for more information about prevention and treatment of hais, see the resources below: siegel jd, rhinehart e, jackson m, et al. the healthcare infection control practices advisory committee (hicpac). management of multidrug-resistant organisms in healthcare settings, 2006","Certain people are at increased risk of getting vancomycin-resistant enterococci (VRE). These include:

* People who have been previously treated with antibiotics for long periods of time
* Hospitalized patients, especially those receiving antibiotic treatment
* Those with weakened immune systems, such as patients in intensive care units or cancer or transplant wards
* Those who have undergone surgical procedures or have medical devices inserted
* Those who are colonized with VRE"
are there complications from botulism?,"botulism can result in death due to respiratory failure. however, in the past 50 years the proportion of patients with botulism who die has fallen from about 50% to 3-5%. a patient with severe botulism may require a breathing machine as well as intensive medical and nursing care for several months, and some patients die from infections or other problems related to remaining paralyzed for weeks or months. patients who survive an episode of botulism poisoning may have fatigue and shortness of breath for years and long-term therapy may be needed to aid recovery.","Botulism can result in death from respiratory failure, but this has decreased significantly over the past 50 years. Patients with severe botulism may require a breathing machine and intensive care for several months, and some may die from related infections or complications. Survivors may experience fatigue and shortness of breath for years, requiring long-term therapy."
do you have information about a1c,"summary : a1c is a blood test for type 2 diabetes and prediabetes. it measures your average blood glucose, or blood sugar, level over the past 3 months. doctors may use the a1c alone or in combination with other diabetes tests to make a diagnosis. they also use the a1c to see how well you are managing your diabetes. this test is different from the blood sugar checks that people with diabetes do every day.    your a1c test result is given in percentages. the higher the percentage, the higher your blood sugar levels have been:       - a normal a1c level is below 5.7 percent    - prediabetes is between 5.7 to 6.4 percent. having prediabetes is a risk factor for getting type 2 diabetes. people with prediabetes may need retests every year.    - type 2 diabetes is above 6.5 percent    - if you have diabetes, you should have the a1c test at least twice a year. the a1c goal for many people with diabetes is below 7. it may be different for you. ask what your goal should be. if your a1c result is too high, you may need to change your diabetes care plan.       nih: national institute of diabetes and digestive and kidney diseases","A1c is a blood test that measures your average blood glucose level over 3 months. It's used to diagnose type 2 diabetes and prediabetes, and to monitor how well you're managing your diabetes. The result is given in percentages, with a normal level below 5.7%, prediabetes between 5.7-6.4%, and type 2 diabetes above 6.5%."
do you have information about acupuncture,"summary : acupuncture has been practiced in china and other asian countries for thousands of years. acupuncture involves stimulating specific points on the body. this is most often done by inserting thin needles through the skin, to cause a change in the physical functions of the body.    research has shown that acupuncture reduces nausea and vomiting after surgery and chemotherapy. it can also relieve pain. researchers don't fully understand how acupuncture works. it might aid the activity of your body's pain-killing chemicals. it also might affect how you release chemicals that regulate blood pressure and flow.    nih: national center for complementary and integrative health","Acupuncture has been practiced in China and other Asian countries for thousands of years. It involves stimulating specific points on the body, often by inserting thin needles, to cause a change in physical functions. Research has shown it reduces nausea and vomiting after surgery and chemotherapy, and relieves pain."
do you have information about adoption,"summary : adoption brings a child born to other parents into a new family. birth parents have a number of reasons for placing children for adoption. overall, they want better lives for their children than they think they can give them.    children who are eligible for adoption come from many different settings. some are in foster care, a temporary home setting. other children live in orphanages or with birth relatives until they can be adopted.    there are different kinds of adoption. children may be adopted by a relative or a new family. some parents adopt children from the u.s, and some adopt from abroad.","Adoption brings a child born to other parents into a new family. Birth parents place children for adoption to provide a better life for them than they can give. Children eligible for adoption come from various settings, including foster care, orphanages, or birth relatives. There are different types of adoption, including adoption by relatives or new families, and adoption from the U.S. or abroad."
do you have information about advance directives,"summary : what kind of medical care would you want if you were too ill or hurt to express your wishes? advance directives are legal documents that allow you to spell out your decisions about end-of-life care ahead of time. they give you a way to tell your wishes to family, friends, and health care professionals and to avoid confusion later on.     a living will tells which treatments you want if you are dying or permanently unconscious. you can accept or refuse medical care. you might want to include instructions on       - the use of dialysis and breathing machines    -  if you want to be resuscitated if your breathing or heartbeat stops     -  tube feeding    -  organ or tissue donation         a durable power of attorney for health care is a document that names your health care proxy. your proxy is someone you trust to make health decisions for you if you are unable to do so.     nih: national cancer institute","Advance directives are legal documents that allow you to spell out your decisions about end-of-life care ahead of time. They include a living will, which outlines your wishes for medical care if you are dying or permanently unconscious, and a durable power of attorney for health care, which names a proxy to make health decisions for you if you are unable to do so."
do you have information about african american health,"summary : every racial or ethnic group has specific health concerns. differences in the health of groups can result from       - genetics    - environmental factors    - access to care    - cultural factors        on this page, you'll find links to health issues that affect african americans.","African Americans have specific health concerns due to genetics, environmental factors, access to care, and cultural factors."
do you have information about air pollution,"summary : air pollution is a mixture of solid particles and gases in the air. car emissions, chemicals from factories, dust, pollen and mold spores may be suspended as particles. ozone, a gas, is a major part of air pollution in cities. when ozone forms air pollution, it's also called smog.    some air pollutants are poisonous. inhaling them can increase the chance you'll have health problems. people with heart or lung disease, older adults and children are at greater risk from air pollution. air pollution isn't just outside - the air inside buildings can also be polluted and affect your health.    environmental protection agency","Air pollution is a mixture of solid particles and gases in the air, including car emissions, chemicals from factories, dust, pollen, and mold spores. Ozone, a gas, is a major part of air pollution in cities, also known as smog. Some air pollutants are poisonous, increasing the risk of health problems, especially for people with heart or lung disease, older adults, and children."
do you have information about alcohol,"summary : if you are like many americans, you drink alcohol at least occasionally. for many people, moderate drinking is probably safe. it may even have health benefits, including reducing your risk of certain heart problems. for most women and for most people over 65, moderate drinking is no more than three drinks a day or seven drinks per week. for men under 65, it is no more than four drinks a day or 14 drinks per week.    some people should not drink at all, including alcoholics, children, pregnant women, people taking certain medicines, and people with certain medical conditions. if you have questions about whether it is safe for you to drink, speak with your health care provider.    anything more than moderate drinking can be risky. heavy drinking can lead to alcoholism and alcohol abuse, as well as injuries, liver disease, heart disease, cancer, and other health problems. it can also cause problems at home, at work, and with friends.    nih: national institute on alcohol abuse and alcoholism","For many people, moderate drinking is probably safe, and may even have health benefits. Moderate drinking is defined as no more than three drinks a day or seven drinks per week for most women and people over 65, and no more than four drinks a day or 14 drinks per week for men under 65. However, some people should not drink at all, including those with certain medical conditions or taking certain medicines."
do you have information about anabolic steroids,"summary : anabolic steroids are man-made substances related to male sex hormones. doctors use anabolic steroids to treat some hormone problems in men, delayed puberty, and muscle loss from some diseases.    bodybuilders and athletes often use anabolic steroids to build muscles and improve athletic performance. using them this way is not legal or safe. abuse of anabolic steroids has been linked with many health problems. they include       -  acne    -  breast growth and shrinking of testicles in men     - voice deepening and growth of facial hair in women     - high blood pressure    - heart problems, including heart attack    - liver disease, including cancer    - kidney damage    - aggressive behavior        nih: national institute on drug abuse","Anabolic steroids are man-made substances related to male sex hormones. They are used to treat hormone problems, delayed puberty, and muscle loss from some diseases. Bodybuilders and athletes often use them to build muscles and improve athletic performance, but this is not legal or safe."
